Class code,Class,Sample,Session.Sample,R,G,B
5,MP,38,7.38,0.257880718,0.14507838,0.115345477
7,RP,39,7.39,0.083543811,0.045534621,0.043380657
8,RU,41,7.41,0.771586768,0.742506941,0.654091845
7,RP,42,7.42,0.459146032,0.341333221,0.277604628
8,RU,43,7.43,0.82201312,0.761918712,0.69363705
4,BP,44,7.44,0.315450753,0.277201342,0.233920043
4,BP,47,7.47,0.155997773,0.101371829,0.092149676
5,MP,48,7.48,0.286509146,0.15367347,0.114346387
5,MP,56,7.56,0.226284345,0.126077625,0.09642383
5,MP,57,7.57,0.305997551,0.199266504,0.17239255
6,AP,58,7.58,0.1781524,0.096355791,0.083021838
5,MP,59,7.59,0.165050567,0.094062546,0.073622018
8,RU,40,1.40,0.191535249,0.139840139,0.127332027
8,RU,40,2.40,0.260469064,0.219178576,0.215645031
8,RU,40,3.40,0.744675623,0.589447931,0.509725222
8,RU,40,4.40,0.112917625,0.102129399,0.111831052
